"male+Photographers" , 1
"ara+male" , 1
"Compilers" , 1
"Artist+Graphic designer+male+Author" , 1
"eng+rus+Women" , 1
"Sociology teachers" , 1
"(lcdgt) Fewmales" , 1
"fre+(lcgbt) males" , 1
"male+Graffiti artists+Illustrators+Painters" , 1
"not known+male" , 1
"Females+Composers" , 1
"vie" , 1
"(homoit) Non-binary people" , 1
"Males+Germans" , 1
"Psychiatrists" , 1
"eng+ice+dan" , 1
"Bloggers+Females" , 1
"(iso5218) Females" , 1
"lcsh+males" , 1
"(lcgft) Males+Armenians" , 1
"spa+male+eng" , 1
"female+snd" , 1
"transgender woman" , 1
